634358,1,21/08/2018,"R$ 1.000,00","R$ 1.000,00","R$ 0,00",Sim
634359,2,15/09/2018,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634360,3,15/10/2018,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634361,4,15/11/2018,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634362,5,15/12/2018,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634363,6,15/01/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634364,7,28/02/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634365,8,15/03/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634366,9,15/04/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634367,10,15/05/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634368,11,15/06/2019,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634369,12,15/07/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634370,13,15/08/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634371,14,15/09/2019,"R$ 372,05","R$ 372,05","R$ 0,00",Sim
634372,15,15/10/2019,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634373,16,15/11/2019,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634374,17,15/12/2019,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634375,18,15/01/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634376,19,28/02/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634377,20,15/03/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634378,21,15/04/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634379,22,15/05/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634380,23,15/06/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634381,24,15/07/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634382,25,15/08/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634383,26,15/09/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634396,38,09/10/2020,"R$ 127.305,95","R$ 121.636,97","R$ 5.668,98",Não
634384,27,15/10/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634385,28,15/11/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634386,29,15/12/2020,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634387,30,15/01/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634388,31,28/02/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634389,32,15/03/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634390,33,15/04/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634391,34,15/05/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634392,35,15/06/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634393,36,15/07/2021,"R$ 372,05","R$ 0,00","R$ 372,05",Não
634395,37,15/08/2021,"R$ 372,30","R$ 0,00","R$ 372,30",Não
