0,[DICTEXTO]
1,"VENDAS A VISTA NESTA DATA [DICTEXTO]"
2,"CHEQUE NÚMERO [DICNUMERICO]"
3,"CHEQUE DEVOLVIDO CONFORME AVISO [DICTEXTO]"
4,"RECEBIMENTO DIVERSAS DUPLICATAS [DICTEXTO]"
5,"SALDO BALANÇO DE ABERTURA [DICTEXTO]"
6,"PAGAMENTO NF NÚMERO [DICNUMERICO]"
7,"PAGAMENTO DUPLICATA NÚMERO [DICNUMERICO]"
8,"DEPÓSITO CONFOME RECIBO [DICTEXTO]"
9,"PAGAMENTO CONFORME RECIBO [DICTEXTO]"
10,"PAGAMENTO GUIA PIS REFERENTE [DICTEXTO]"
11,"PAGAMENTO GUIA COFINS REFERENTE [DICTEXTO]"
12,"PAGAMENTO GUIA FGTS REFERENTE  [DICTEXTO]"
13,"PAGAMENTO GUIA INSS REFERENTE  [DICTEXTO]"
14,"PAGAMENTO GUIA ISS REFERENTE [DICTEXTO]"
15,"PAGAMENTO JUROS SOBRE DUPLICATAS"
16,"APLICAÇÃO CONFORME AVISOS  [DICTEXTO]"
17,"RESGATE CONFORME AVISOS  [DICTEXTO]"
18,"PAGAMENTO CONFORME DIVERSAS NOTAS FISCAIS  [DICTEXTO]"
19,"PAGAMENTO GUIA ICMS REFERENTE  [DICTEXTO]"
20,"DÉBITO CPMF"
21,"RECEBIMENTOS DESTA DATA  [DICTEXTO]"
22,"PAGAMENTOS DESTA DATA  [DICTEXTO]"
23,"OPERAÇÃO DESCONTO CONFORME AVISO  [DICTEXTO]"
24,"EMPRÉSTIMO CONFORME AVISO [DICTEXTO]"
25,"DEVOLUÇÃO DE MERCADORIAS CONFORME NF [DICNUMERICO] DE [DICTEXTO]"
26,"ICMS DEVOLUÇÕES PRODUTOS MÊS  [DICTEXTO]"
27,"REEMBOLSO VALORES REFERENTE DEVOLUÇÃO CONFORME NF  [DICTEXTO]"
28,"LIQUIDAÇÃO DUPLICATAS AVISO BANCO  [DICTEXTO]"
29,"ICMS SOBRE FATURA CELESC  [DICTEXTO]"
30,"VARIAÇÃO MONETÁRIA SOBRE A FOLHA  [DICTEXTO]"
31,"ICMS SOBRE REMESSA PARA CONSERTO MÊS  [DICTEXTO]"
